team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Slovenia,Italy,Men,Pool,0,3,"[19, 16, 21]",33,4,0,19,56,46,60,73,15,75
Poland,Australia,Men,Pool,3,3,"[25, 25, 25]",45,5,4,21,75,26,44,76,18,50
Australia,Poland,Men,Pool,0,3,"[17, 19, 14]",27,4,1,18,50,21,65,81,21,75
United States,Bulgaria,Men,Pool,3,4,"[25, 20, 26, 25]",55,7,8,26,96,44,69,90,26,84
Bulgaria,United States,Men,Pool,1,4,"[12, 25, 24, 23]",47,5,6,26,84,22,77,101,26,96
Germany,France,Men,Pool,1,4,"[16, 19, 25, 21]",32,7,4,38,81,32,64,79,28,94
France,Germany,Men,Pool,3,4,"[25, 25, 19, 25]",48,10,8,28,94,45,57,86,38,81
Japan,Slovenia,Men,Pool,3,4,"[25, 22, 25, 25]",55,6,5,31,97,56,65,102,20,83
Slovenia,Japan,Men,Pool,1,4,"[21, 25, 18, 19]",52,9,2,20,83,54,79,103,31,97
Serbia,Australia,Men,Pool,3,3,"[25, 25, 25]",51,5,2,17,75,28,48,75,15,59
Australia,Serbia,Men,Pool,0,3,"[17, 20, 22]",37,6,1,15,59,12,63,62,17,75
Italy,China,Men,Pool,3,3,"[25, 25, 25]",45,11,7,12,75,38,52,74,20,58
China,Italy,Men,Pool,0,3,"[21, 18, 19]",31,4,3,20,58,39,59,80,12,75
United States,Poland,Men,Pool,1,4,"[25, 23, 24, 22]",49,5,8,32,94,27,79,96,29,97
Poland,United States,Men,Pool,3,4,"[21, 25, 26, 25]",57,7,4,29,97,38,78,103,32,94
Bulgaria,Brazil,Men,Pool,0,3,"[21, 19, 22]",38,8,3,13,62,17,62,75,18,75
Brazil,Bulgaria,Men,Pool,3,3,"[25, 25, 25]",44,9,4,18,75,26,52,66,13,62
United States,Germany,Men,Pool,3,4,"[25, 25, 22, 25]",59,4,7,27,97,55,67,106,31,83
Germany,United States,Men,Pool,1,4,"[21, 19, 25, 18]",47,3,2,31,83,68,78,125,27,97
Canada,Argentina,Men,Pool,1,4,"[21, 25, 21, 23]",53,4,3,29,89,60,77,107,38,99
Argentina,Canada,Men,Pool,3,4,"[25, 23, 25, 25]",50,7,4,38,99,49,70,109,29,89
Bulgaria,Italy,Men,Pool,0,3,"[15, 20, 23]",37,2,2,17,58,12,65,84,21,75
Italy,Bulgaria,Men,Pool,3,3,"[25, 25, 25]",37,11,6,21,75,20,48,68,17,58
Iran,Poland,Men,Pool,3,5,"[21, 25, 25, 25, 15]",56,5,9,41,111,37,79,106,22,104
Poland,Iran,Men,Pool,2,5,"[25, 23, 22, 27, 7]",60,12,10,22,104,36,95,108,41,111
Brazil,Germany,Men,Pool,3,4,"[25, 25, 25, 25]",63,6,6,25,100,60,69,106,23,83
Germany,Brazil,Men,Pool,1,4,"[27, 17, 20, 19]",51,6,3,23,83,57,85,118,25,100
Japan,Australia,Men,Pool,3,4,"[25, 25, 23, 25]",61,6,13,18,98,51,67,96,21,77
Australia,Japan,Men,Pool,1,4,"[18, 15, 25, 19]",51,4,1,21,77,41,81,84,18,98
Netherlands,China,Men,Pool,3,3,"[29, 25, 25]",43,13,10,13,79,18,49,71,13,52
China,Netherlands,Men,Pool,0,3,"[27, 12, 13]",33,6,0,13,52,24,66,67,13,79
Slovenia,Serbia,Men,Pool,3,3,"[25, 25, 25]",36,6,4,29,75,14,43,63,16,57
Serbia,Slovenia,Men,Pool,0,3,"[15, 19, 23]",36,3,2,16,57,18,62,85,29,75
France,United States,Men,Pool,2,5,"[25, 22, 25, 14, 8]",53,5,7,28,93,86,82,132,40,101
United States,France,Men,Pool,3,5,"[15, 25, 22, 25, 15]",46,9,6,40,101,61,68,104,28,93
Germany,Australia,Men,Pool,3,4,"[20, 25, 25, 26]",52,8,5,31,96,48,66,96,29,86
Australia,Germany,Men,Pool,1,4,"[25, 16, 21, 24]",48,5,4,29,86,50,77,88,31,96
Canada,Brazil,Men,Pool,0,3,"[18, 19, 16]",36,1,5,11,53,46,67,91,23,75
Brazil,Canada,Men,Pool,3,3,"[25, 25, 25]",43,5,4,23,75,49,45,73,11,53
Italy,Iran,Men,Pool,3,4,"[25, 25, 25, 25]",55,10,8,27,100,33,73,104,25,89
Iran,Italy,Men,Pool,1,4,"[16, 27, 23, 23]",49,7,8,25,89,32,83,114,27,100
Bulgaria,Slovenia,Men,Pool,1,4,"[22, 25, 18, 16]",45,9,4,23,81,13,83,99,31,97
Slovenia,Bulgaria,Men,Pool,3,4,"[25, 22, 25, 25]",53,10,3,31,97,27,64,94,23,81
Poland,China,Men,Pool,3,3,"[26, 25, 25]",40,4,12,20,76,13,43,60,14,58
China,Poland,Men,Pool,0,3,"[24, 16, 18]",34,8,2,14,58,13,65,59,20,76
Argentina,Australia,Men,Pool,3,4,"[21, 25, 25, 25]",54,12,8,22,96,62,68,100,26,82
Australia,Argentina,Men,Pool,1,4,"[25, 23, 19, 15]",46,7,3,26,82,46,81,91,22,96
France,Brazil,Men,Pool,3,3,"[25, 25, 25]",49,6,11,9,75,41,60,86,26,64
Brazil,France,Men,Pool,0,3,"[21, 22, 21]",31,2,5,26,64,41,52,73,9,75
Japan,Canada,Men,Pool,3,4,"[25, 25, 22, 25]",54,5,7,31,97,71,65,100,19,81
Canada,Japan,Men,Pool,1,4,"[20, 16, 25, 20]",50,4,8,19,81,61,81,105,31,97
Bulgaria,Netherlands,Men,Pool,3,4,"[22, 25, 25, 25]",53,12,5,27,97,21,73,104,26,83
Netherlands,Bulgaria,Men,Pool,1,4,"[25, 16, 21, 21]",48,3,6,26,83,29,84,115,27,97
Slovenia,Iran,Men,Pool,0,3,"[24, 14, 21]",27,5,4,23,59,15,57,64,27,76
Iran,Slovenia,Men,Pool,3,3,"[26, 25, 25]",37,6,6,27,76,20,47,68,23,59
Italy,Serbia,Men,Pool,3,3,"[25, 25, 25]",36,14,6,19,75,18,51,73,19,58
Serbia,Italy,Men,Pool,0,3,"[21, 14, 23]",34,3,2,19,58,16,64,94,19,75
France,Argentina,Men,Pool,1,4,"[22, 25, 23, 19]",47,4,3,35,89,75,72,108,27,98
Argentina,France,Men,Pool,3,4,"[25, 23, 25, 25]",62,4,5,27,98,73,68,115,35,89
Canada,United States,Men,Pool,0,3,"[19, 15, 19]",34,1,2,16,53,49,61,82,18,75
United States,Canada,Men,Pool,3,3,"[25, 25, 25]",47,5,5,18,75,47,45,72,16,53
Germany,Japan,Men,Pool,1,4,"[25, 22, 20, 20]",47,8,2,30,87,56,77,101,32,98
Japan,Germany,Men,Pool,3,4,"[23, 25, 25, 25]",52,10,4,32,98,53,64,92,30,87
China,Bulgaria,Men,Pool,3,4,"[26, 25, 25, 25]",62,8,7,24,101,22,79,91,26,91
Bulgaria,China,Men,Pool,1,4,"[28, 23, 23, 17]",55,7,3,26,91,22,84,94,24,101
Iran,Serbia,Men,Pool,3,3,"[35, 25, 25]",48,14,7,16,85,25,58,83,19,66
Serbia,Iran,Men,Pool,0,3,"[33, 21, 12]",40,6,1,19,66,19,72,87,16,85
Poland,Netherlands,Men,Pool,3,3,"[25, 25, 25]",41,7,4,23,75,24,49,60,17,64
Netherlands,Poland,Men,Pool,0,3,"[19, 23, 22]",37,4,6,17,64,19,63,76,23,75
United States,Argentina,Men,Pool,3,5,"[29, 22, 20, 25, 17]",65,13,3,32,113,66,81,115,30,105
Argentina,United States,Men,Pool,2,5,"[27, 25, 25, 13, 15]",66,7,2,30,105,66,92,130,32,113
Australia,France,Men,Pool,0,3,"[16, 12, 26]",23,3,2,26,54,39,55,68,21,78
France,Australia,Men,Pool,3,3,"[25, 25, 28]",43,8,6,21,78,36,43,66,26,54
Brazil,Japan,Men,Pool,3,3,"[25, 25, 25]",42,7,4,22,75,39,56,76,22,68
Japan,Brazil,Men,Pool,0,3,"[23, 23, 22]",40,3,3,22,68,52,60,81,22,75
China,Serbia,Men,Pool,1,4,"[17, 17, 25, 22]",48,7,2,24,81,22,86,99,40,98
Serbia,China,Men,Pool,3,4,"[25, 25, 23, 25]",44,8,6,40,98,31,61,92,24,81
Italy,Netherlands,Men,Pool,3,3,"[25, 26, 25]",44,6,4,19,73,18,49,74,11,57
Netherlands,Italy,Men,Pool,0,3,"[23, 24, 21]",36,5,5,11,57,18,62,72,19,73
Poland,Slovenia,Men,Pool,3,4,"[25, 25, 23, 25]",47,13,9,28,97,28,58,88,25,79
Slovenia,Poland,Men,Pool,1,4,"[14, 23, 25, 17]",41,6,7,25,79,22,78,98,28,97
United States,Brazil,Men,Quarterfinals,3,4,"[20, 25, 25, 25]",56,7,4,28,95,61,69,104,21,87
Brazil,United States,Men,Quarterfinals,1,4,"[25, 22, 23, 17]",61,3,2,21,87,61,81,119,28,95
Italy,Netherlands,Men,Quarterfinals,3,4,"[21, 25, 25, 25]",47,12,7,30,96,51,63,95,20,82
Netherlands,Italy,Men,Quarterfinals,1,4,"[25, 22, 13, 22]",52,4,6,20,82,53,88,122,30,96
France,Japan,Men,Quarterfinals,3,3,"[26, 25, 25]",41,8,3,24,76,33,47,65,23,60
Japan,France,Men,Quarterfinals,0,3,"[24, 16, 20]",30,3,4,23,60,39,54,73,24,76
Poland,Iran,Men,Quarterfinals,3,5,"[25, 24, 25, 16, 15]",50,10,6,39,105,60,78,106,29,97
Iran,Poland,Men,Quarterfinals,2,5,"[21, 26, 18, 25, 7]",55,7,6,29,97,61,81,122,39,105
Poland,United States,Men,Semifinals,0,3,"[22, 23, 13]",34,2,4,18,58,31,63,77,22,75
United States,Poland,Men,Semifinals,3,3,"[25, 25, 25]",38,6,9,22,75,35,43,63,18,58
Italy,France,Men,Semifinals,0,3,"[22, 20, 15]",32,3,2,20,57,39,57,73,14,75
France,Italy,Men,Semifinals,3,3,"[25, 25, 25]",46,4,11,14,75,44,50,71,20,57
Italy,Poland,Men,Finals (Bronze),0,3,"[16, 23, 20]",33,2,1,23,59,52,57,88,25,75
Poland,Italy,Men,Finals (Bronze),3,3,"[25, 25, 25]",37,3,10,25,75,41,48,77,23,59
France,United States,Men,Finals (Gold),3,5,"[25, 25, 15, 21, 15]",59,6,6,30,101,48,82,108,27,95
United States,France,Men,Finals (Gold),2,5,"[16, 19, 25, 25, 10]",60,7,1,27,95,54,80,106,30,101
Thailand,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",47,8,5,15,75,69,53,88,14,62
Bulgaria,Thailand,Women,Pool,0,3,"[20, 22, 20]",44,3,1,14,62,61,65,86,15,75
Türkiye,Italy,Women,Pool,3,3,"[25, 25, 25]",46,7,4,18,75,44,52,90,14,58
Italy,Türkiye,Women,Pool,0,3,"[20, 19, 19]",37,6,1,14,58,41,66,93,18,75
Germany,Brazil,Women,Pool,1,4,"[27, 25, 25, 21]",64,6,5,23,98,97,95,154,24,104
Brazil,Germany,Women,Pool,3,4,"[29, 23, 27, 25]",64,13,3,24,104,100,88,157,23,98
United States,Dominican Republic,Women,Pool,3,3,"[25, 25, 25]",47,9,4,15,75,62,54,90,17,56
Dominican Republic,United States,Women,Pool,0,3,"[21, 17, 18]",32,7,0,17,56,60,66,97,15,75
Belgium,Serbia,Women,Pool,1,4,"[25, 16, 17, 22]",54,9,5,12,80,59,84,155,14,89
Serbia,Belgium,Women,Pool,3,4,"[14, 25, 25, 25]",62,10,3,14,89,83,73,127,12,80
China,Netherlands,Women,Pool,3,4,"[16, 25, 25, 25]",68,11,3,9,91,98,91,143,14,93
Netherlands,China,Women,Pool,1,4,"[25, 22, 23, 23]",69,9,1,14,93,118,86,134,9,91
Poland,Canada,Women,Pool,3,4,"[20, 25, 25, 25]",46,9,6,34,95,72,71,120,31,90
Canada,Poland,Women,Pool,1,4,"[25, 22, 23, 20]",49,7,3,31,90,80,81,117,34,95
Korea,Japan,Women,Pool,0,3,"[17, 16, 11]",26,8,2,8,44,66,69,107,19,75
Japan,Korea,Women,Pool,3,3,"[25, 25, 25]",49,5,2,19,75,83,38,104,8,44
Thailand,Serbia,Women,Pool,3,5,"[25, 25, 25, 20, 15]",81,12,4,13,110,75,101,164,15,107
Serbia,Thailand,Women,Pool,2,5,"[23, 27, 20, 25, 12]",67,17,8,15,107,59,103,152,13,110
Bulgaria,Netherlands,Women,Pool,3,5,"[25, 12, 19, 25, 15]",65,11,6,14,96,114,81,161,22,87
Netherlands,Bulgaria,Women,Pool,2,5,"[15, 25, 25, 15, 7]",53,10,2,22,87,132,86,143,14,96
Belgium,Italy,Women,Pool,1,4,"[25, 19, 23, 20]",52,9,4,22,87,65,84,131,26,96
Italy,Belgium,Women,Pool,3,4,"[21, 25, 25, 25]",56,9,5,26,96,58,78,119,22,87
Brazil,Poland,Women,Pool,3,3,"[25, 25, 25]",32,12,5,26,75,51,55,84,9,66
Poland,Brazil,Women,Pool,0,3,"[23, 21, 22]",49,6,2,9,66,56,68,106,26,75
Germany,Japan,Women,Pool,2,5,"[27, 25, 20, 22, 12]",71,6,6,23,106,117,103,177,34,113
Japan,Germany,Women,Pool,3,5,"[25, 23, 25, 25, 15]",74,1,4,34,113,125,94,183,23,106
Canada,Dominican Republic,Women,Pool,3,3,"[25, 25, 25]",43,9,8,15,75,61,44,82,16,51
Dominican Republic,Canada,Women,Pool,0,3,"[18, 15, 18]",26,4,5,16,51,50,67,95,15,75
Serbia,Bulgaria,Women,Pool,3,3,"[26, 25, 26]",50,8,4,15,77,70,59,111,18,64
Bulgaria,Serbia,Women,Pool,0,3,"[24, 15, 24]",39,4,3,18,64,68,70,110,15,77
Netherlands,Italy,Women,Pool,0,3,"[19, 15, 15]",28,3,2,16,49,58,65,83,12,75
Italy,Netherlands,Women,Pool,3,3,"[25, 25, 25]",50,10,3,12,75,61,47,92,16,49
Türkiye,China,Women,Pool,1,4,"[16, 25, 16, 22]",49,5,2,23,79,65,85,120,29,95
China,Türkiye,Women,Pool,3,4,"[25, 20, 25, 25]",54,9,3,29,95,65,70,102,23,79
Germany,Korea,Women,Pool,3,3,"[25, 25, 25]",45,6,5,19,75,62,46,86,10,53
Korea,Germany,Women,Pool,0,3,"[22, 15, 16]",34,2,7,10,53,45,68,98,19,75
Dominican Republic,Brazil,Women,Pool,1,4,"[9, 25, 18, 17]",42,4,5,18,69,76,86,112,27,91
Brazil,Dominican Republic,Women,Pool,3,4,"[25, 16, 25, 25]",48,10,6,27,91,82,59,110,18,69
United States,Canada,Women,Pool,3,3,"[25, 25, 25]",44,8,2,21,75,66,47,88,12,55
Canada,United States,Women,Pool,0,3,"[14, 22, 19]",36,6,1,12,55,54,65,97,21,75
Thailand,Belgium,Women,Pool,2,5,"[22, 25, 25, 21, 13]",70,11,2,23,106,110,98,171,25,106
Belgium,Thailand,Women,Pool,3,5,"[25, 18, 23, 25, 15]",67,8,6,25,106,114,96,168,23,106
China,Italy,Women,Pool,3,4,"[25, 20, 25, 25]",48,14,5,22,89,71,68,103,10,77
Italy,China,Women,Pool,1,4,"[13, 25, 22, 18]",59,4,4,10,77,75,89,129,22,89
Bulgaria,Türkiye,Women,Pool,0,3,"[19, 21, 16]",31,8,1,16,56,50,67,94,18,75
Türkiye,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",42,12,3,18,75,54,51,84,16,56
Korea,Poland,Women,Pool,0,3,"[9, 23, 11]",25,5,1,12,43,50,64,90,26,75
Poland,Korea,Women,Pool,3,3,"[25, 25, 25]",33,12,4,26,75,45,37,72,12,43
Dominican Republic,Japan,Women,Pool,1,4,"[17, 25, 21, 10]",42,13,3,15,73,95,85,142,25,95
