team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Brazil,France,Men,Pool 5,0,3,"[21, 22, 21]",31,2,5,26,64,41,52,73,9,75
Japan,Canada,Men,Pool 5,3,4,"[25, 25, 22, 25]",54,5,7,31,97,71,65,100,19,81
Canada,Japan,Men,Pool 5,1,4,"[20, 16, 25, 20]",50,4,8,19,81,61,81,105,31,97
Bulgaria,Netherlands,Men,Pool 6,3,4,"[22, 25, 25, 25]",53,12,5,27,97,21,73,104,26,83
Netherlands,Bulgaria,Men,Pool 6,1,4,"[25, 16, 21, 21]",48,3,6,26,83,29,84,115,27,97
Slovenia,Iran,Men,Pool 6,0,3,"[24, 14, 21]",27,5,4,23,59,15,57,64,27,76
Iran,Slovenia,Men,Pool 6,3,3,"[26, 25, 25]",37,6,6,27,76,20,47,68,23,59
Italy,Serbia,Men,Pool 6,3,3,"[25, 25, 25]",36,14,6,19,75,18,51,73,19,58
Serbia,Italy,Men,Pool 6,0,3,"[21, 14, 23]",34,3,2,19,58,16,64,94,19,75
France,Argentina,Men,Pool 5,1,4,"[22, 25, 23, 19]",47,4,3,35,89,75,72,108,27,98
Argentina,France,Men,Pool 5,3,4,"[25, 23, 25, 25]",62,4,5,27,98,73,68,115,35,89
Canada,United States,Men,Pool 5,0,3,"[19, 15, 19]",34,1,2,16,53,49,61,82,18,75
United States,Canada,Men,Pool 5,3,3,"[25, 25, 25]",47,5,5,18,75,47,45,72,16,53
Germany,Japan,Men,Pool 5,1,4,"[25, 22, 20, 20]",47,8,2,30,87,56,77,101,32,98
Japan,Germany,Men,Pool 5,3,4,"[23, 25, 25, 25]",52,10,4,32,98,53,64,92,30,87
China,Bulgaria,Men,Pool 6,3,4,"[26, 25, 25, 25]",62,8,7,24,101,22,79,91,26,91
Bulgaria,China,Men,Pool 6,1,4,"[28, 23, 23, 17]",55,7,3,26,91,22,84,94,24,101
Iran,Serbia,Men,Pool 6,3,3,"[35, 25, 25]",48,14,7,16,85,25,58,83,19,66
Serbia,Iran,Men,Pool 6,0,3,"[33, 21, 12]",40,6,1,19,66,19,72,87,16,85
Poland,Netherlands,Men,Pool 6,3,3,"[25, 25, 25]",41,7,4,23,75,24,49,60,17,64
Netherlands,Poland,Men,Pool 6,0,3,"[19, 23, 22]",37,4,6,17,64,19,63,76,23,75
United States,Argentina,Men,Pool 5,3,5,"[29, 22, 20, 25, 17]",65,13,3,32,113,66,81,115,30,105
Argentina,United States,Men,Pool 5,2,5,"[27, 25, 25, 13, 15]",66,7,2,30,105,66,92,130,32,113
Australia,France,Men,Pool 5,0,3,"[16, 12, 26]",23,3,2,26,54,39,55,68,21,78
France,Australia,Men,Pool 5,3,3,"[25, 25, 28]",43,8,6,21,78,36,43,66,26,54
Brazil,Japan,Men,Pool 5,3,3,"[25, 25, 25]",42,7,4,22,75,39,56,76,22,68
Japan,Brazil,Men,Pool 5,0,3,"[23, 23, 22]",40,3,3,22,68,52,60,81,22,75
China,Serbia,Men,Pool 6,1,4,"[17, 17, 25, 22]",48,7,2,24,81,22,86,99,40,98
Serbia,China,Men,Pool 6,3,4,"[25, 25, 23, 25]",44,8,6,40,98,31,61,92,24,81
Italy,Netherlands,Men,Pool 6,3,3,"[25, 26, 25]",44,6,4,19,73,18,49,74,11,57
Netherlands,Italy,Men,Pool 6,0,3,"[23, 24, 21]",36,5,5,11,57,18,62,72,19,73
Poland,Slovenia,Men,Pool 6,3,4,"[25, 25, 23, 25]",47,13,9,28,97,28,58,88,25,79
Slovenia,Poland,Men,Pool 6,1,4,"[14, 23, 25, 17]",41,6,7,25,79,22,78,98,28,97
United States,Brazil,Men,Quarter Finals,3,4,"[20, 25, 25, 25]",56,7,4,28,95,61,69,104,21,87
Brazil,United States,Men,Quarter Finals,1,4,"[25, 22, 23, 17]",61,3,2,21,87,61,81,119,28,95
Italy,Netherlands,Men,Quarter Finals,3,4,"[21, 25, 25, 25]",47,12,7,30,96,51,63,95,20,82
Netherlands,Italy,Men,Quarter Finals,1,4,"[25, 22, 13, 22]",52,4,6,20,82,53,88,122,30,96
France,Japan,Men,Quarter Finals,3,3,"[26, 25, 25]",41,8,3,24,76,33,47,65,23,60
Japan,France,Men,Quarter Finals,0,3,"[24, 16, 20]",30,3,4,23,60,39,54,73,24,76
Poland,Iran,Men,Quarter Finals,3,5,"[25, 24, 25, 16, 15]",50,10,6,39,105,60,78,106,29,97
Iran,Poland,Men,Quarter Finals,2,5,"[21, 26, 18, 25, 7]",55,7,6,29,97,61,81,122,39,105
Poland,United States,Men,Semifinals,0,3,"[22, 23, 13]",34,2,4,18,58,31,63,77,22,75
United States,Poland,Men,Semifinals,3,3,"[25, 25, 25]",38,6,9,22,75,35,43,63,18,58
Italy,France,Men,Semifinals,0,3,"[22, 20, 15]",32,3,2,20,57,39,57,73,14,75
France,Italy,Men,Semifinals,3,3,"[25, 25, 25]",46,4,11,14,75,44,50,71,20,57
Italy,Poland,Men,Final 3-4,0,3,"[16, 23, 20]",33,2,1,23,59,52,57,88,25,75
Poland,Italy,Men,Final 3-4,3,3,"[25, 25, 25]",37,3,10,25,75,41,48,77,23,59
France,United States,Men,Final 1-2,3,5,"[25, 25, 15, 21, 15]",59,6,6,30,101,48,82,108,27,95
United States,France,Men,Final 1-2,2,5,"[16, 19, 25, 25, 10]",60,7,1,27,95,54,80,106,30,101
